pet_name,pet_species,pet_breed,pet_age_group,pet_color,pet_gender,pet_temperaments,adopter_living,adopter_activity,adopter_experience,adopter_has_kids,adopter_has_pets,adopter_hours_alone,adopter_pref_color,adopter_pref_age,adopter_pref_gender,adopter_desired_tags,color_matched,age_matched,gender_matched,is_dog,is_cat,pet_age_kitten_puppy,pet_age_young,pet_age_adult,pet_age_senior,pet_is_male,pet_is_female,pref_age_kitten_puppy,pref_age_young,pref_age_adult,pref_age_senior,pref_gender_male,pref_gender_female,tag_similarity,living_apartment,living_yard,living_no_yard,activity_relaxed,activity_moderate,activity_high,exp_first_time,exp_experienced,has_kids,has_other_pets,hours_0_3,hours_4_7,hours_8_plus,special_care_cap,pet_special_need,adopter_tag_friendly,adopter_tag_calm,adopter_tag_energetic,adopter_tag_shy,adopter_tag_playful,adopter_tag_independent,adopter_tag_affectionate,adopter_tag_protective,pet_tag_friendly,pet_tag_calm,pet_tag_energetic,pet_tag_shy,pet_tag_playful,pet_tag_independent,pet_tag_affectionate,pet_tag_protective,is_compatible
Daisy,dog,Staffordshire Mix,young,White,Female,Friendly; Energetic; Playful,house_with_yard,relaxed,experienced,0,1,4_7,Tabby,kitten_puppy,any,Playful; Protective; Energetic,0.0,0.4,1.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.666667,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
Frida,cat,Domestic Longhair Mix,kitten_puppy,Black,Female,Energetic; Playful; Affectionate,apartment,relaxed,first_time,1,1,4_7,White,senior,any,Protective; Energetic; Calm,0.0,0.0,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.333333,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
*Gus,cat,Domestic Shorthair Mix,adult,Tabby,Female,Calm; Independent; Affectionate,house_with_yard,high,first_time,0,1,8_plus,Orange,adult,female,Friendly; Protective; Independent,0.0,1.0,1.0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.333333,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
*Nathaniel,dog,Pit Bull Mix,adult,White,Male,Friendly; Energetic; Affectionate,apartment,relaxed,experienced,0,1,0_3,Tabby,young,female,Protective; Playful,0.0,0.4,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
*Mirinda,dog,Boxer Mix,young,White,Female,Friendly; Energetic; Playful,apartment,moderate,first_time,0,1,0_3,Black,young,any,Playful; Calm; Affectionate,0.0,1.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.333333,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
*Georgia,cat,Domestic Shorthair Mix,kitten_puppy,White,Female,Energetic; Playful; Affectionate,house_with_yard,moderate,first_time,0,1,0_3,Black,adult,female,Energetic,0.0,0.0,1.0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0.57735,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
*Backlash,cat,Siamese Mix,kitten_puppy,Gray,Male,Energetic; Playful; Affectionate,house_no_yard,high,first_time,0,1,8_plus,White,young,any,Playful,0.0,0.4,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.57735,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Goldie Lox,dog,Labrador Retriever Mix,kitten_puppy,White,Female,Friendly; Energetic; Playful; Affectionate,apartment,high,experienced,1,0,8_plus,Tabby,kitten_puppy,any,Calm; Affectionate,0.0,1.0,1.0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.353553,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
*Helene,cat,Domestic Medium Hair Mix,kitten_puppy,White,Female,Energetic; Playful; Affectionate,apartment,relaxed,experienced,1,1,0_3,White,kitten_puppy,male,Independent; Shy; Playful,1.0,1.0,0.0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.333333,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1
*Hank,dog,Australian Cattle Dog Mix,kitten_puppy,White,Male,Friendly; Energetic; Playful,house_no_yard,moderate,experienced,0,1,8_plus,Tricolor,any,any,Protective,0.0,1.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Miles,dog,Border Collie Mix,young,Black,Male,Friendly; Energetic; Playful,house_no_yard,moderate,first_time,1,0,8_plus,any,senior,any,Independent; Friendly,1.0,0.0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.408248,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
*Coral,cat,Domestic Shorthair Mix,kitten_puppy,Orange,Female,Energetic; Playful; Affectionate,house_with_yard,high,first_time,0,1,4_7,Orange,kitten_puppy,any,Protective; Calm,1.0,1.0,1.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
*Sir Parker,dog,Australian Shepherd/Border Collie,young,White,Male,Friendly; Energetic; Playful; Protective,apartment,high,experienced,1,0,4_7,Gray,senior,any,Playful; Protective,0.0,0.0,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.707107,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
Shelter Rescue,cat,Domestic Shorthair Mix,kitten_puppy,Orange,Female,Energetic; Playful; Affectionate,house_with_yard,relaxed,experienced,1,1,0_3,Orange,any,female,Calm; Energetic,1.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.408248,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Penelope,dog,Chihuahua Shorthair Mix,adult,Tricolor,Female,Friendly; Calm; Affectionate,house_no_yard,relaxed,experienced,1,0,4_7,Tabby,kitten_puppy,male,Playful,0.0,0.0,0.0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0.0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Shelter Rescue,dog,Dachshund Wirehair Mix,kitten_puppy,Brown,Male,Friendly; Calm; Energetic; Playful; Affectionate,apartment,high,experienced,0,0,8_plus,any,any,male,Independent; Affectionate,1.0,1.0,1.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0.316228,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1
Chonchi,cat,Domestic Shorthair Mix,adult,Orange,Male,Calm; Independent; Affectionate,house_no_yard,moderate,first_time,1,1,4_7,Black,any,any,Independent; Playful; Affectionate,0.0,1.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.666667,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1
*Snickers,dog,Australian Cattle Dog/German Shorthair Pointer,kitten_puppy,White,Female,Friendly; Energetic; Playful,house_no_yard,moderate,experienced,0,1,8_plus,White,any,male,Protective; Independent,1.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
Rita,dog,Brittany/Labrador Retriever,kitten_puppy,Orange,Female,Friendly; Energetic; Playful; Affectionate,house_no_yard,relaxed,experienced,1,1,0_3,Brown,adult,female,Playful; Independent; Affectionate,0.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.57735,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0
*Azul,dog,Pit Bull Mix,young,White,Male,Friendly; Energetic; Playful,apartment,relaxed,first_time,1,1,0_3,Tricolor,adult,female,Calm,0.0,0.4,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Shelter Rescue,cat,Domestic Shorthair Mix,kitten_puppy,Black,Male,Energetic; Playful; Affectionate,house_no_yard,relaxed,first_time,1,1,8_plus,Orange,kitten_puppy,female,Calm; Affectionate; Independent,0.0,1.0,0.0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0.333333,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
*Liz,cat,Domestic Shorthair Mix,kitten_puppy,Gray,Female,Energetic; Playful; Affectionate,house_with_yard,moderate,first_time,1,0,8_plus,Brown,kitten_puppy,male,Independent; Affectionate,0.0,1.0,0.0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.408248,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
Stella,dog,Border Collie/Great Pyrenees,kitten_puppy,White,Female,Friendly; Energetic; Playful,apartment,moderate,first_time,1,1,0_3,White,adult,any,Independent; Energetic,1.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.408248,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
Rosie,dog,Pit Bull Mix,adult,Brown,Female,Friendly; Energetic; Affectionate,house_no_yard,high,first_time,0,1,4_7,Black,adult,male,Protective; Independent,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
*Sierra,cat,Domestic Shorthair Mix,kitten_puppy,Tricolor,Female,Energetic; Playful; Affectionate,apartment,high,first_time,0,0,0_3,Tricolor,adult,any,Energetic,1.0,0.0,1.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.57735,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
*Capri,dog,Australian Cattle Dog Mix,kitten_puppy,Gray,Female,Friendly; Energetic; Playful,house_no_yard,relaxed,experienced,0,1,4_7,Black,young,any,Protective; Playful,0.0,0.4,1.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.408248,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
Princess,dog,Chihuahua Shorthair Mix,young,White,Female,Friendly; Calm; Energetic; Playful; Affectionate,house_with_yard,relaxed,experienced,0,1,4_7,White,young,male,Energetic; Calm; Shy,1.0,1.0,0.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0.516398,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1
Maya,dog,Australian Shepherd/Border Collie,young,White,Female,Friendly; Energetic; Playful; Protective,apartment,relaxed,first_time,1,1,4_7,Gray,any,male,Shy; Protective,0.0,1.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.353553,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
*Polly,cat,Domestic Shorthair Mix,young,White,Female,Calm; Independent; Affectionate,apartment,moderate,experienced,1,0,4_7,any,any,any,Independent; Calm,1.0,1.0,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.816497,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1
*Paris,cat,Domestic Shorthair Mix,kitten_puppy,White,Female,Energetic; Playful; Affectionate,apartment,relaxed,first_time,1,1,8_plus,any,any,male,Playful; Calm,1.0,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.408248,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
*Medelia,cat,Domestic Medium Hair Mix,kitten_puppy,White,Female,Energetic; Playful; Affectionate,house_with_yard,relaxed,first_time,1,0,8_plus,Tabby,adult,any,Playful; Energetic; Protective,0.0,0.0,1.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.666667,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
Lexi,dog,Staffordshire/Blue Lacy,young,White,Female,Friendly; Energetic; Playful,house_no_yard,relaxed,first_time,0,0,8_plus,Gray,any,any,Shy; Friendly,0.0,1.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.408248,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Salem,dog,Rat Terrier Mix,young,Tricolor,Female,Friendly; Energetic; Playful,house_no_yard,high,experienced,0,1,8_plus,Gray,any,any,Energetic; Independent,0.0,1.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.408248,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
*Homer,dog,Beagle Mix,young,White,Male,Friendly; Energetic; Playful; Affectionate,house_with_yard,relaxed,experienced,0,1,8_plus,Black,kitten_puppy,male,Calm; Playful,0.0,0.4,1.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.353553,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
Vail,dog,Chihuahua Shorthair Mix,kitten_puppy,Black,Female,Friendly; Calm; Energetic; Playful; Affectionate,apartment,moderate,first_time,0,0,0_3,Brown,kitten_puppy,female,Affectionate,0.0,1.0,1.0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0.447214,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1
Coffee,dog,Dachshund Mix,adult,Brown,Male,Friendly; Calm; Affectionate,apartment,high,first_time,0,0,4_7,any,any,male,Calm; Protective,1.0,1.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.408248,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
*Echo,cat,Domestic Shorthair Mix,kitten_puppy,Black,Female,Energetic; Playful; Affectionate,house_no_yard,moderate,experienced,1,0,4_7,Orange,young,any,Playful; Protective; Calm,0.0,0.4,1.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0.333333,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
*Orville,cat,Domestic Shorthair Mix,kitten_puppy,Black,Male,Energetic; Playful; Affectionate,house_with_yard,high,first_time,0,0,0_3,Gray,any,male,Energetic; Calm,0.0,1.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.408248,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Shelter Rescue,dog,Cardigan Welsh Corgi Mix,kitten_puppy,Black,Female,Friendly; Energetic; Playful,house_with_yard,high,first_time,0,0,8_plus,Gray,adult,female,Energetic; Protective,0.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.408248,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
*Caramello,dog,Labrador Retriever Mix,young,Brown,Male,Friendly; Energetic; Playful; Affectionate,house_no_yard,relaxed,experienced,1,0,4_7,Brown,adult,any,Affectionate; Calm,1.0,0.4,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.353553,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
Alaska,dog,Siberian Husky Mix,young,Black,Female,Friendly; Energetic; Playful,apartment,high,experienced,0,1,8_plus,White,kitten_puppy,female,Shy,0.0,0.4,1.0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0.0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
*Desiree,dog,Australian Cattle Dog Mix,kitten_puppy,Black,Female,Friendly; Energetic; Playful,apartment,moderate,experienced,0,0,0_3,Tricolor,senior,any,Calm; Protective,0.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
*Tucker,dog,Boxer,adult,White,Male,Friendly; Energetic; Affectionate,apartment,moderate,experienced,0,1,4_7,White,any,male,Shy,1.0,1.0,1.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
*Pinkie Pie,cat,Domestic Medium Hair Mix,kitten_puppy,Tricolor,Female,Energetic; Playful; Affectionate,house_no_yard,moderate,first_time,1,1,4_7,Tabby,any,male,Calm; Protective; Energetic,0.0,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.333333,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
Jodie,dog,Australian Shepherd/Parson Russell Terrier,adult,Tricolor,Female,Friendly; Energetic; Affectionate; Protective,apartment,moderate,experienced,0,0,0_3,Gray,any,male,Playful; Shy,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0
Shelter Rescue,cat,Siamese Mix,kitten_puppy,Brown,Female,Energetic; Playful; Affectionate,house_no_yard,high,first_time,0,0,8_plus,Tricolor,any,female,Friendly; Playful; Calm,0.0,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.333333,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Lucy,dog,Dachshund Mix,kitten_puppy,Orange,Female,Friendly; Calm; Energetic; Playful; Affectionate,house_no_yard,high,first_time,0,1,8_plus,Black,young,male,Affectionate; Energetic; Protective,0.0,0.4,0.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.516398,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
Rose,cat,Domestic Shorthair Mix,kitten_puppy,Tabby,Female,Energetic; Playful; Affectionate,house_with_yard,relaxed,experienced,1,0,0_3,Brown,any,male,Independent; Friendly; Affectionate,0.0,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.333333,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
*Quinn,dog,Labrador Retriever Mix,kitten_puppy,Brown,Male,Friendly; Energetic; Playful; Affectionate,house_no_yard,moderate,first_time,0,1,4_7,Gray,adult,female,Friendly; Protective,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.353553,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
Leonard,cat,Siamese Mix,adult,Brown,Male,Calm; Playful; Independent; Affectionate,apartment,relaxed,first_time,1,1,0_3,Tabby,kitten_puppy,female,Affectionate; Shy,0.0,0.0,0.0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.353553,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
Lucy,dog,Australian Cattle Dog Mix,kitten_puppy,Black,Female,Friendly; Energetic; Playful,house_no_yard,high,first_time,0,1,4_7,any,young,male,Energetic; Calm; Shy,1.0,0.4,0.0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0.333333,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
*Huey,dog,Labrador Retriever Mix,young,Black,Male,Friendly; Energetic; Playful; Affectionate,apartment,relaxed,experienced,0,0,0_3,any,adult,female,Protective; Calm; Playful,1.0,0.4,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.288675,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0
*Rangel,dog,Rottweiler/German Shepherd,young,Black,Male,Friendly; Energetic; Playful; Protective,apartment,high,experienced,0,1,0_3,White,young,male,Independent,0.0,1.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
Bugotti,dog,Rottweiler/Pit Bull,young,Brown,Male,Friendly; Energetic; Playful,house_no_yard,relaxed,experienced,0,1,0_3,Brown,any,male,Affectionate; Shy,1.0,1.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
*L'Oreal,cat,Domestic Longhair Mix,kitten_puppy,Black,Female,Energetic; Playful; Affectionate,apartment,moderate,first_time,0,1,0_3,Gray,kitten_puppy,male,Friendly,0.0,1.0,0.0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0.0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
